,AP 1,AP 2,AP 3,AP 4
311,183.9229259688053,184.08656912448453,183.84761904697484,184.1364988866576
312,182.58201199842426,182.63038569885555,182.60276930535565,182.57187171040096
313,195.6112261877474,195.83507727684128,195.8202521073547,196.066762754278
314,183.53434313773755,183.49866693922024,183.73324603769902,183.601777609495
315,184.00194036987796,184.0859715539234,184.25092599808067,184.1843872495133
316,185.86250897637586,185.80277315637,185.88764747180176,185.99709950638953
317,184.796979936154,184.90835421849033,184.94660458289582,185.02331123171734
318,186.942915245299,186.98545042444368,187.1192085934622,187.11762310676158
319,186.12405728261527,186.2321683837048,186.12981036242513,186.28564961347774
320,183.17544918903053,183.11048349604903,183.11381748796998,183.19087395323322
321,187.97165408231797,188.01909852763595,187.97081452264547,188.30566713082408
322,187.5224484176861,187.3472712882011,187.5174112586585,187.4988907649963
323,180.03477179489266,180.1364838513133,180.14215509484734,180.23267670319
324,180.3633840981592,180.37681276082765,180.5607146680311,180.49635521100072
325,182.94219123980972,183.0171204360671,183.05181903698735,183.07841045865462
326,186.91877682141822,186.9020390853342,187.09321675379488,187.00068389544322
327,182.96211962609283,183.11036849398954,183.0509687703202,183.03590779466867
328,184.61416626855504,184.6307550515703,184.66249078237638,184.68546077534575
329,180.22552397172598,180.16115842992417,180.22042850771686,180.49548862636266
330,179.9342466291913,180.0040167067225,180.12173551524393,180.21839432228762
331,184.0618451183473,184.02027218990997,184.1253910302596,184.2122790694866
332,182.29802873799235,182.63450121029814,182.37901631668524,182.44306279470493
333,185.01495822571135,184.98487153804683,185.12799657147661,185.0045232709449
334,183.2498603150443,183.3834413680213,183.33287986278333,183.31705572577266
335,182.54794646670388,182.54359079266635,182.56419556117748,182.63682393940144
336,186.60776598350802,186.6330209073626,186.63045858890382,186.80801258529436
337,183.35222014657242,183.38782844232355,183.38365604165392,183.39626050496918
338,180.32121609867576,180.60479502453893,180.69606164505285,180.64537138527658
339,184.21772589727195,184.1549846019759,184.43047416437093,184.44512076667343
340,187.5224484176861,187.3472712882011,187.5174112586585,187.4988907649963
341,180.00710542184288,180.06738292360853,180.1071871222225,180.05057341565316
342,188.9602046728857,189.06567518572012,189.09974789822127,189.06752675735197
343,180.98858118940032,180.83894919747013,181.07000895949,181.03961128976835
344,184.4931647646469,184.80182050217138,184.6804709310686,184.8555434000259
345,187.96197693905296,188.11507499185598,188.12662231612194,188.15644500322924
346,182.5779431708525,182.59444655166124,182.37166421294728,182.69506659252465
347,185.3008008735045,185.3109542151342,185.24963485810304,185.5205462319309
348,182.5163299707783,182.48142950898796,182.5431953093114,182.55760960188536
349,184.04738553221043,184.1774953196906,184.2409217940367,184.15956134276666
350,190.6425300596002,190.93944363663525,190.86738335271934,190.86834474199986
351,185.15364081137614,185.10685638801374,185.08463187832626,185.29231924823353
352,186.15018072799361,186.42057742984673,186.43705940990253,186.4323322687469
353,188.04873851189052,188.00788913754843,188.06173280472672,188.19485827333529
354,191.95065459131965,192.2225088806183,192.0438277688006,192.27574771567106
355,184.00194036987796,184.0859715539234,184.25092599808067,184.1843872495133
356,182.39116235813816,182.43896620544615,182.5323244604201,182.65016775616778
357,182.48160734474135,182.7365883814598,182.7764967600042,182.80803674656408
358,181.16302899719858,181.03039680867607,181.1019141014267,181.1812230733949
359,184.64708372425218,184.7026740761347,184.70743596926195,184.71672311812836
