gen1,gen2,gen3,gen4
"[0.3601435977649825, 0.8709246456551043, 0.14600099209544476, 0.6780856708596232, 1.228614954189803, 1.0240368127602963, 0.9967360567692783, 0.21554814382941279, 0.45771431820293423, 1.5639316732775603]","[0.35159961613408164, 0.9698307166205411, 0.7267757538478954, 0.23638054812412465, 0.6234964004585923, 0.2870277816534133, 0.3709751163922374, 0.9929774644292299, 0.8814897598415997, 0.40547982882110045]","[1.2487142730212537, 0.25134575104625173, 1.520302135976331, 1.0613744152629747, 0.7473006791208794, 1.8583349626066785, 1.704250661069634, 0.17445063206898867, 0.3083349054817868, 1.31371154619918]","[1.2365707066471137, 0.10722330635869332, 0.195198063563696, 0.37448440210562034, 0.5099300567933797, 1.8583349626066785, 1.807398555940542, 0.32062009111013545, 0.2141958053657656, 0.6702945212361976]"
"[0.1001674041510022, 0.682528221459745, 1.4821232223093355, 0.5558848091331231, 0.30235101758383026, 0.49322202837816936, 0.19751005262347016, 0.2824266058145401, 1.4444129289595782, 0.14955779110753947]","[0.6567142793318287, 0.3197630587291002, 0.3279363778087766, 0.1679067734410966, 1.8470756002351605, 0.8066870699123112, 1.1731863636024162, 0.26699127081147206, 0.6580696003623391, 1.0336595335057135]","[1.2053201861135021, 0.13373891959094028, 0.46263940998645176, 0.13585109296703252, 0.9794874879156038, 0.2041305374787621, 0.9885863036225355, 0.12015419616821199, 0.3884807086506162, 0.36040907186329585]","[0.1286094957153067, 0.7890452685392441, 1.4059027727594986, 1.0613744152629747, 0.3986496365408647, 0.16347192372762143, 1.704250661069634, 0.17445063206898867, 0.28806844774288654, 1.4591452849529805]"
"[0.6927045220983716, 0.486473621661581, 0.4175423213452293, 0.6672271181805667, 0.8658224417110373, 0.28256097279689374, 0.9938001673681505, 1.3279753306395408, 0.36956024501392476, 0.7906409005411348]","[0.16100835243674216, 0.39390568071340737, 1.7752234318581164, 0.14027443548286245, 0.620480733047691, 0.36373393007768123, 1.9385722365350697, 0.21768005851185862, 1.7272714133335973, 0.2105315310658634]","[0.8689157499697218, 0.44266164936080643, 0.6244305485719825, 0.6418359535644489, 0.6653631575057715, 0.21008360726213313, 0.41179533933349094, 0.937592091281424, 0.43254502824892455, 0.41214279500217027]","[0.5900290815850229, 0.36750590699540264, 1.0154477129152422, 0.24402617950160502, 0.7931538041778441, 0.13502453609014536, 1.0296122166238848, 0.19460474290836516, 0.21464838133784997, 0.1765584110006914]"
"[0.5841680605011076, 0.11080890257298609, 0.9747838171523105, 1.9317702559118552, 0.29862890330123654, 1.0684445573720027, 0.1625723537033197, 0.33228366619321364, 0.8882241480592252, 0.33203088025594657]","[0.4331907923669044, 0.6919045160173206, 0.7002303618637746, 0.1415958671715156, 1.4641343556864204, 0.19891579793473876, 0.3098353403833273, 0.17913300844329738, 1.0471808903798376, 0.12036906409140137]","[0.888376731277941, 0.44266164936080643, 0.6244305485719825, 0.6418359535644489, 0.7371821791620655, 0.14855885840500146, 0.33765556174003486, 1.1503858615242584, 0.4271550659370304, 0.43110586963464037]","[0.3924615713581127, 0.4256688171911932, 0.7828977367110669, 0.6766320416189119, 1.6177120855360383, 0.10505357303490126, 0.4178049625352982, 0.188760913830383, 0.9665645797021503, 0.5553297738629784]"
"[0.6726951379755552, 0.486473621661581, 0.4320299502910314, 0.6672271181805667, 0.9054933691099049, 1.5530499286406414, 0.9938001673681505, 0.9544931100632383, 0.36956024501392476, 0.7906409005411348]","[0.8387773867052113, 0.21291914845039153, 0.3070932837662188, 1.5679382135723066, 0.9208965648833767, 0.24543571593388105, 0.5042569206225683, 0.22159617415779775, 1.0097084960380003, 0.35496512124780577]","[0.6567142793318287, 0.3197630587291002, 0.3279363778087766, 0.14986212223082448, 1.498862807900394, 0.2472564683066332, 1.1731863636024162, 0.26699127081147206, 0.7195287824270737, 1.1210171024869449]","[1.7796174017601956, 0.2640396821759702, 1.520302135976331, 1.0613744152629747, 0.7422495955591778, 1.8583349626066785, 1.704250661069634, 0.17933853188112478, 0.3083349054817868, 1.31371154619918]"
"[1.037013791346741, 0.221401002799737, 0.5365408227270948, 0.5994497388634107, 1.2960537091054363, 0.28256097279689374, 0.4481594823833403, 0.4909307817686788, 0.12886018145574846, 1.7066439054161575]","[0.2160568814329501, 0.6931394036993894, 0.48550450666717715, 1.2037105009287747, 0.22274049580125793, 0.46826436171001967, 0.6609337965392028, 0.2365955584454154, 0.8947321190000516, 0.659987658565038]","[1.7254504269699533, 0.5006192525418467, 1.6571734463964214, 1.265954468347879, 0.33706601569808, 0.5932403119564676, 1.3523499823521323, 0.2549556199683319, 0.9396139925624462, 0.13943844585402368]","[1.2487142730212537, 0.25134575104625173, 1.4153664298114963, 0.21631852773370877, 0.8881023533482235, 1.862376224604481, 1.7221169731139911, 0.1741281080979112, 0.27614134452471517, 0.5258314740699916]"
"[0.6646376059352787, 0.14759279359424568, 0.29036303066295055, 0.3671401412872683, 0.45899471769664385, 0.17728959054341653, 1.794035708949971, 0.4144542580850012, 0.6526814891176488, 0.755737044951458]","[0.19983956650565354, 0.6715306434226779, 0.498820473711462, 1.147424720347925, 0.22274049580125793, 0.4417689370445093, 0.6413677291703047, 0.33228366619321364, 1.1795100186782215, 0.844896387484467]","[0.18364652986585175, 0.4072574779122565, 1.5453180560082111, 0.6144588076317251, 0.263125182995639, 0.16813110058987862, 1.450757772116453, 0.5404074797816483, 0.15890176980271165, 0.46947266002160626]","[1.328579777890178, 0.11080890257298609, 1.1511991635631584, 0.24919546016956753, 0.5229980099292554, 0.6883014191741907, 1.9086862269751341, 1.8424648863351158, 1.3601596275239423, 0.2085106996835161]"
"[0.7446245957405755, 0.18927731702171421, 0.5101430888722298, 0.13170922422018785, 0.22495128838138684, 0.366261154547453, 0.2604855919176337, 0.2573358655130452, 0.6910932266529111, 1.0329761041609435]","[0.5841680605011076, 0.11080890257298609, 0.9747838171523105, 1.9317702559118552, 0.29862890330123654, 0.8901273702086474, 0.1625723537033197, 0.2365955584454154, 0.8882241480592252, 0.33203088025594657]","[0.9185978914170609, 0.18630014990720176, 1.5687510727284821, 0.3491283131068757, 0.8123572566122537, 0.46579382053474844, 0.10301854437747197, 0.2637182683488224, 0.12980243136820396, 0.2368735786740127]","[0.5206079464105575, 0.5072227005915925, 1.5327373043409491, 0.1505275305335595, 1.0415879531829013, 0.1760660306233743, 1.3872689118736123, 0.7883179019777881, 0.12431193613125684, 0.5524659485672114]"
"[0.8352866965579531, 1.126446639155391, 1.4293283171252475, 0.7333518446692491, 0.17174002854799386, 1.1713141592448568, 0.5019378450454708, 0.5678165747767526, 1.3601596275239423, 0.3408389310734572]","[0.7973486171549641, 0.7633223091046801, 0.1373549667103184, 0.22248299048644818, 1.1274507920817194, 0.4255012842344385, 1.3683005422839223, 0.937592091281424, 0.9121967964037514, 0.30712594560332035]","[0.8991716378673277, 0.7630409832530616, 1.0232983637164914, 0.22248299048644818, 0.31020104288148875, 0.21008360726213313, 1.8917800419847906, 0.9813223884045179, 0.8744017093458628, 0.29705407344642304]","[0.4610017960777594, 1.234688608631541, 1.212273203348879, 0.7367292406284812, 0.5577089581291996, 0.2363397574451854, 1.0478830067151932, 0.22821868065622303, 0.7391793945266777, 0.18984683189908816]"
"[0.7843511729533256, 0.1951122159824536, 0.3334686006884815, 0.22830208599992058, 0.13009692408163306, 0.2381537692785295, 0.48177099935527995, 0.3601935844645431, 0.6807560992379028, 0.22910267645892413]","[0.24436715335147424, 0.15645713954560045, 0.4315730226930979, 0.10258282936359507, 0.3521043206720035, 0.49871879019609333, 0.5098917788979961, 0.12324492927153767, 0.7250971888394501, 0.7690213464361317]","[0.38403905964700985, 0.35293915488582633, 0.47306374731675666, 0.7692309016327225, 1.6648973526607145, 1.9462167034137592, 0.2521576720872224, 0.1839296884714375, 1.0198410402151612, 0.1530563792191426]","[0.5900290815850229, 0.36750590699540264, 1.0944680889020648, 0.2107559098657414, 1.6530957236563675, 0.13502453609014536, 0.4186340998805459, 0.4942853396931121, 0.21464838133784997, 0.7122156130441945]"
"[0.22202229449556685, 0.573056261462505, 1.8190555956323113, 1.8744859035980148, 0.6010063418870051, 0.47112685005474614, 0.20273567501822937, 1.6293707713059224, 0.6400371398614927, 0.19859540231412698]","[1.8017469821373469, 0.25134575104625173, 0.7687059728949385, 0.6766320416189119, 0.9635932136310976, 1.8583349626066785, 0.3724695806256637, 0.17445063206898867, 0.31156454105875314, 0.5258314740699916]","[0.8822838547220144, 0.6450586689914252, 0.4788022568996312, 0.1679067734410966, 0.31234464081366725, 0.8066870699123112, 0.27288729380939836, 0.17195691245274486, 0.7598610218580739, 1.0336595335057135]","[0.48617690507492206, 0.36750590699540264, 1.0622429926914676, 0.23675268712591693, 1.5673989806260205, 0.1377524054194711, 0.9298707832050838, 0.937592091281424, 0.21464838133784997, 0.17983308123655942]"
"[0.28058026887523374, 0.3766376129676934, 1.452794599158105, 0.6729326556367766, 0.5769691424212725, 0.11185411283178691, 1.2515922260048613, 0.5067748031129358, 0.8026160709683287, 0.11489482198237141]","[0.4132916022573867, 0.44266164936080643, 1.4059027727594986, 1.1744816490186036, 1.729768939066804, 0.10551244623396826, 1.7239447935138112, 1.1503858615242584, 1.1343679130529913, 0.593985522544367]","[0.6567142793318287, 0.3470463538650781, 0.3279363778087766, 0.13170922422018785, 1.8470756002351605, 0.44932691131404057, 1.1731863636024162, 0.26699127081147206, 0.6580696003623391, 0.7675074813296183]","[1.2053201861135021, 0.25134575104625173, 1.2341069665959505, 1.0613744152629747, 0.9623559664800738, 1.9747927908243934, 1.704250661069634, 0.17445063206898867, 0.31156454105875314, 1.31371154619918]"
"[0.7897155324051703, 0.7865511699519386, 1.074067564208881, 1.7632436022991447, 1.027082180104263, 0.31338670246844863, 1.3065383199824763, 0.1874286493083841, 1.7834769249749558, 0.18507450191778238]","[1.4225610880302337, 0.11080890257298609, 1.1511991635631584, 0.11108720964943233, 0.6467401367607548, 0.6356486446012629, 0.1625723537033197, 0.33228366619321364, 0.8882241480592252, 0.1927139035125561]","[0.6646376059352787, 0.8562761343721212, 0.29036303066295055, 0.4256080163471707, 0.5354294043209914, 0.17954232830198258, 1.4711204430823066, 1.3784173237598563, 0.2141958053657656, 0.17681089158184904]","[0.888376731277941, 0.8253549743192812, 1.1257961722619771, 0.22248299048644818, 1.6648973526607145, 0.21008360726213313, 1.8917800419847906, 1.8148556005680578, 0.40429282365502145, 1.1361009192623808]"
"[0.7774037876436651, 1.5365671168349657, 0.1536356930973728, 0.21506960656247223, 0.1619179837144322, 0.8972941160314701, 0.3883461401651864, 1.7181307943849842, 0.1372913059158094, 0.26318240511739577]","[0.5841680605011076, 1.5119653971626192, 0.9747838171523105, 1.0072703442196331, 0.22274049580125793, 1.0684445573720027, 0.39627109710733627, 1.8555358070821615, 0.1750073336597285, 0.756938046090778]","[0.1032545739254087, 0.6994522623807481, 1.3477082796963324, 0.1503070294506213, 0.597278851896777, 0.1355957076128421, 1.794035708949971, 0.3487175805840531, 0.4467448272310547, 0.6828938194335568]","[1.5895070907236135, 1.3938314314606495, 1.8864894469496654, 0.2430873056565661, 0.6511497302596712, 0.16241854940194553, 0.6136751431237277, 0.39980458570113725, 0.17796819094060679, 0.29705407344642304]"
"[0.7973486171549641, 0.7633223091046801, 1.0622429926914676, 0.22248299048644818, 0.30395118775729224, 0.21008360726213313, 0.12998573597889898, 0.937592091281424, 0.9121967964037514, 0.3111959678920746]","[0.1158441892088719, 1.0040246868350318, 1.3441899288773003, 0.21631852773370877, 0.24698261230234833, 0.5876212565351159, 1.4453200488258091, 0.3299789427830419, 0.4467448272310547, 0.8398487092042146]","[0.35159961613408164, 0.4072574779122565, 1.9560228359954506, 0.22530890389271, 1.2151155530757778, 0.8116659672617076, 0.14573209188644431, 0.8207560989167249, 0.8814897598415997, 0.34707266449547025]","[1.5990766024332606, 0.4369977102430722, 0.9747838171523105, 0.6550760149460957, 1.3090201262586618, 0.1989087996464628, 1.5420412732389095, 1.3985693311117815, 0.8882241480592252, 0.844896387484467]"
"[0.5841680605011076, 0.11080890257298609, 0.9747838171523105, 1.9317702559118552, 0.29862890330123654, 1.0684445573720027, 0.1625723537033197, 0.3034282403710872, 0.8882241480592252, 0.33203088025594657]","[0.31122717113566734, 0.3036061884187108, 0.11200634146083975, 0.7134007234083174, 0.6301808234108272, 0.1355957076128421, 0.6124476656309903, 1.3784173237598563, 0.31282636914484613, 0.17681089158184904]","[0.3601435977649825, 1.679892656567594, 1.9354402950219158, 1.313464562737583, 0.25295765233809725, 0.7429973994501429, 1.944104288373707, 0.21554814382941279, 1.4998075353619218, 0.35067878064126917]","[1.7306520830468142, 0.25134575104625173, 1.4153664298114963, 1.0584846875132732, 0.2705253257185891, 1.8583349626066785, 0.9949593009950326, 0.17445063206898867, 0.27614134452471517, 0.5258314740699916]"
"[0.1001674041510022, 0.7571017619523415, 1.9094177459871702, 0.5558848091331231, 0.30235101758383026, 0.3374094944836819, 1.30147377403716, 0.28885899864966036, 1.4444129289595782, 1.8019907781642877]","[0.27870863693738485, 0.13843839785415724, 1.9042816947670413, 0.6267585984533293, 0.22593372082556912, 1.1587244059801551, 0.42597154549449107, 0.7651178226710713, 0.5000122115651687, 0.31977946811191016]","[0.13301021451513628, 1.086440945066168, 0.8031351382146634, 0.6325653964998394, 0.44291381807396085, 0.5932403119564676, 1.3683005422839223, 0.1995613181371491, 0.1615207658723068, 0.6146326008658177]","[0.6341114983895271, 0.36750590699540264, 0.9747838171523105, 0.6550760149460957, 0.49156986520412327, 0.13998009613418316, 1.5420412732389095, 1.3985693311117815, 0.8882241480592252, 0.1765584110006914]"
"[0.22979121439428438, 0.19802344936297417, 0.4220258656937071, 0.10093753972431148, 0.8641100171191292, 1.0240368127602963, 0.19751005262347016, 0.13436177357253826, 0.18024099118881967, 0.16825497938211742]","[1.7463859933773132, 0.7236610844266905, 0.3697087274761646, 0.7777249493693227, 1.8228019862750304, 0.15952181927334302, 1.0398814662998326, 0.21439482476549987, 0.8619585129292201, 0.18984683189908816]","[0.11888175460641119, 1.9209168709122983, 0.23236529488940277, 1.8455612281569078, 0.37354964617945546, 0.20307779474876453, 0.8578683754092065, 0.19709528376952445, 0.4537219388502209, 0.49987424420211235]","[1.4024139926066306, 0.4369977102430722, 0.9813421303656414, 0.25483875704580644, 0.2705253257185891, 0.1989087996464628, 1.0296122166238848, 0.15724556566256584, 0.20828850328834278, 0.844896387484467]"
"[0.6188068196825782, 0.28654735277508464, 0.6396650646389054, 0.820292543740679, 0.1116805715881921, 0.1988083296018896, 0.2964072315529991, 0.5239602054453079, 1.8010234873702295, 0.11944283486561912]","[1.5638965383028114, 1.307821391217227, 1.3272310201551787, 1.3764405402177615, 0.3956762905459378, 0.38301453838685595, 1.4064115036270772, 1.8712183149404527, 0.36120221135507835, 0.6967823681955442]","[0.24436715335147424, 0.4406725231088975, 1.3275166657869868, 0.10581752350234849, 0.3521043206720035, 1.9462167034137592, 0.48802178792170947, 0.12324492927153767, 0.8957246364568269, 0.7470029109576558]","[1.7254504269699533, 0.2640396821759702, 1.4846036918500118, 0.21631852773370877, 0.8881023533482235, 1.8583349626066785, 1.7221169731139911, 0.26699127081147206, 0.2547865944848184, 0.5258314740699916]"
"[0.18066606524998519, 0.750648536784174, 0.8184644591149962, 0.21339726089906508, 1.481642039600655, 1.4053851396121708, 0.1270464715471246, 0.7940427568445538, 0.14416034101720698, 0.4641066505834308]","[0.546950753658446, 0.36750590699540264, 0.9813421303656414, 0.2546750737282078, 0.25330113175478974, 0.13502453609014536, 1.0258512850206074, 0.4339344922681981, 0.18889230246214556, 0.1765584110006914]","[0.32838484602009294, 0.35293915488582633, 0.47306374731675666, 0.7692309016327225, 0.31020104288148875, 0.12818455586438798, 0.2521576720872224, 0.1839296884714375, 0.8744017093458628, 0.1530563792191426]","[1.7796174017601956, 1.086440945066168, 1.4153664298114963, 1.2377402543989593, 0.47291678649057034, 0.2737893412676157, 1.3514460806015642, 0.16159056740096034, 0.9036833456419967, 0.13943844585402368]"
"[1.2053201861135021, 0.11105908835804898, 1.1008451085266562, 0.2358009212082996, 0.1215634440518167, 0.16241854940194553, 0.6136751431237277, 1.1358455915000352, 0.1328127093983225, 1.1361009192623808]","[0.10385369626814053, 0.7890452685392441, 0.22633749421902027, 1.8069920873039986, 0.5099300567933797, 0.17954232830198258, 1.807398555940542, 0.33288383258344795, 0.2141958053657656, 0.6828938194335568]","[0.8442652470452031, 0.4438710805906677, 1.0622429926914676, 0.6550760149460957, 0.458651987391154, 0.1989087996464628, 0.12510604356487856, 1.3985693311117815, 0.7027091309829683, 0.14888164197815587]","[1.037013791346741, 0.20462261692698344, 0.5266862680813332, 0.5994497388634107, 0.25844326283653907, 0.3061384442690534, 0.4255879025032353, 0.8087446867215287, 0.12886018145574846, 1.9339930144079858]"
"[0.2100976143523525, 0.14313341818069455, 0.33178236392774824, 0.14441681639225507, 0.593019439100376, 0.4701014525747501, 0.3888858473949733, 0.18080880787697381, 0.25315446760173044, 0.16246012067768587]","[1.273429007107677, 0.4256688171911932, 1.0161960997312804, 0.37448440210562034, 0.2345676810535248, 0.3925375624359778, 0.2576059818808905, 0.1897854550582633, 1.1778751710474158, 0.10403466859433344]","[1.6135860289770882, 0.3602926705499775, 0.15595299888318673, 0.2610978941565311, 0.2896658615342809, 0.6745603954133079, 1.7988602152440292, 0.12860607849346256, 0.41596705270274864, 0.14584027167097802]","[1.522065569508683, 1.086440945066168, 1.4104602487265832, 1.265954468347879, 0.47291678649057034, 0.2737893412676157, 1.3514460806015642, 0.26699127081147206, 0.9990936919442523, 0.13943844585402368]"
"[0.888376731277941, 0.19378438787977698, 1.5687510727284821, 0.3029849303836744, 0.8123572566122537, 0.46579382053474844, 0.10301854437747197, 0.2637182683488224, 0.1386897869667754, 0.29203958473828373]","[0.9374272903847153, 0.4173250144986938, 1.7460122151602828, 0.6303389185484246, 0.6127854836003808, 0.9859412784553934, 1.3683005422839223, 1.3985693311117815, 0.8336766518688343, 0.600104296123709]","[1.7874711243662653, 0.25134575104625173, 1.3275166657869868, 0.10258282936359507, 0.8881023533482235, 1.8583349626066785, 1.7221169731139911, 0.17445063206898867, 0.27649812856903483, 0.5258314740699916]","[0.6567142793318287, 0.3197630587291002, 0.44546343127734406, 0.7442687430021399, 0.31234464081366725, 0.8066870699123112, 0.30135382548175865, 0.26699127081147206, 0.805298015501249, 0.7799172637966328]"
"[1.099239310294246, 0.44266164936080643, 0.5361325531841465, 0.6418359535644489, 0.6326814467926737, 0.14855885840500146, 0.3724695806256637, 1.1503858615242584, 0.5476125553870448, 0.40968092732772465]","[0.888376731277941, 0.44266164936080643, 0.6244305485719825, 0.6418359535644489, 0.7090888186296856, 0.14855885840500146, 0.3724695806256637, 1.1503858615242584, 0.4271550659370304, 0.41214279500217027]","[0.24436715335147424, 0.4406725231088975, 1.4153664298114963, 1.1744816490186036, 0.34923354193042644, 0.12818455586438798, 0.5098917788979961, 0.11261740096412107, 0.7239872661454292, 0.7470029109576558]","[0.20115426100965603, 0.10500147782169325, 0.513134445892361, 0.129425242346728, 1.3090201262586618, 0.8633507453369045, 1.0258512850206074, 0.22550536025045356, 0.8744017093458628, 0.14900242279204307]"
"[0.5841680605011076, 0.11080890257298609, 0.9747838171523105, 1.147424720347925, 0.22274049580125793, 1.0684445573720027, 0.1625723537033197, 0.33228366619321364, 0.8882241480592252, 0.844896387484467]","[1.2487142730212537, 0.6018519971697956, 1.3275166657869868, 0.7442687430021399, 1.597937843431379, 0.9316979255233874, 0.10117155059232225, 0.538746429577739, 0.3884807086506162, 1.1853152940922627]","[0.4132916022573867, 0.4256688171911932, 0.7828977367110669, 0.6766320416189119, 1.6177120855360383, 0.10868104821580574, 0.43980269334156197, 0.1897854550582633, 1.102411725256651, 0.5553297738629784]","[0.7525602223052088, 0.44266164936080643, 1.7752234318581164, 0.25483875704580644, 1.4015729867819338, 0.21008360726213313, 0.8729743563920013, 0.7554662321341636, 0.28806844774288654, 0.12385696743366871]"
"[0.2160568814329501, 0.6931394036993894, 0.47815841714124485, 1.9824535594332324, 0.29862890330123654, 0.46826436171001967, 0.6637485977891258, 0.2365955584454154, 1.0097084960380003, 0.29939873879652107]","[0.20832873540190544, 0.10500147782169325, 0.47306374731675666, 0.4613649471337675, 0.2994666694399589, 0.12818455586438798, 0.9949593009950326, 0.22550536025045356, 0.8744017093458628, 0.14900242279204307]","[1.273429007107677, 0.4950796025248848, 1.0161960997312804, 0.37448440210562034, 0.2345676810535248, 0.3925375624359778, 0.24674406086534878, 1.1503858615242584, 1.1778751710474158, 0.10403466859433344]","[0.888376731277941, 0.10376114496696807, 0.9813421303656414, 0.5382574862655722, 0.29832042097069833, 1.6268176190450219, 1.3396778092931345, 0.13033224842197166, 0.21464838133784997, 0.1765584110006914]"
"[0.9376007484879075, 0.23095925134008116, 0.3070932837662188, 1.5679382135723066, 0.9208965648833767, 0.24543571593388105, 0.5042569206225683, 0.22159617415779775, 0.8947321190000516, 0.35496512124780577]","[0.10340414320325439, 0.6995663570653236, 0.5676693117290378, 0.19078995389589606, 0.3293849203998091, 0.5154191701811714, 0.9500834691278577, 0.5736408515536796, 0.5557165108418676, 0.1325109774811882]","[0.20464384423756476, 0.12548822793246867, 0.9685222864181386, 1.147424720347925, 1.2022424767297035, 1.0721010470456336, 0.9949593009950326, 0.33228366619321364, 0.8882241480592252, 0.9246390961693517]","[0.4626451762775432, 0.4256688171911932, 0.7828977367110669, 0.1576417137042472, 1.6177120855360383, 0.10868104821580574, 0.43980269334156197, 0.1897854550582633, 1.102411725256651, 0.8988091560993683]"
"[0.1293575014377925, 0.31903467728244617, 0.13774079534063766, 0.6885212532700099, 0.6644885743279481, 1.5774360704512729, 0.14031912535093202, 0.10274599449349937, 1.1769056119123982, 0.12025738618071476]","[0.6069848036950533, 0.2355429181702144, 0.17109415687290347, 0.21977408418662117, 0.3036573910285935, 1.5090101102924376, 0.42307853523700945, 0.7940427568445538, 1.8010234873702295, 0.12251741048124891]","[0.6884898765390446, 0.10500147782169325, 0.47306374731675666, 0.7442687430021399, 0.44086992057353075, 1.0870935918112716, 1.5420412732389095, 0.20020823220307618, 0.1342898012798845, 0.49987424420211235]","[0.7897155324051703, 0.7726818802546239, 1.074067564208881, 0.6766320416189119, 1.027082180104263, 0.31338670246844863, 1.3065383199824763, 0.23441090206982476, 1.0913929953129464, 0.5553297738629784]"
"[1.009774434030722, 0.6844622751665486, 0.12101080352049662, 0.9298389566100058, 1.502626770327913, 0.495142679436207, 0.6033496913322551, 0.9044049277077232, 0.5142130364741934, 0.6016437182148542]","[0.5900290815850229, 0.36750590699540264, 0.9813421303656414, 0.25483875704580644, 0.5099300567933797, 0.1413280410952068, 1.0296122166238848, 0.1434831385351254, 0.21464838133784997, 0.7122156130441945]","[0.20464384423756476, 0.10500147782169325, 0.5436780399055712, 0.7442687430021399, 0.45295550935307466, 0.9472984641928578, 0.996940172198546, 0.21017395033238245, 1.8010234873702295, 0.49987424420211235]","[0.9831149057227107, 1.5119653971626192, 1.3275166657869868, 1.0613744152629747, 1.597937843431379, 1.8583349626066785, 0.10423433147244153, 0.538746429577739, 0.1801790897005666, 1.1437939339749588]"
"[0.39172938100751, 0.15663555361056294, 0.3208785185270535, 0.1568144617820537, 1.0787837204867277, 0.35442980990067297, 0.20065844581511694, 0.30841753739887406, 0.28508114804768514, 0.42575729631991577]","[0.10385369626814053, 0.9900015619588298, 0.22633749421902027, 0.4256080163471707, 0.25330113175478974, 0.15384984199868332, 1.807398555940542, 0.33288383258344795, 0.2141958053657656, 0.1765584110006914]","[0.20464384423756476, 0.6995663570653236, 0.6396650646389054, 0.19527530892361472, 0.3036573910285935, 1.5090101102924376, 0.9949593009950326, 0.7940427568445538, 0.17881549581005649, 0.12251741048124891]","[1.2053201861135021, 0.25134575104625173, 1.4059027727594986, 0.4613649471337675, 0.787859188036216, 0.12818455586438798, 1.6262008804048875, 0.17445063206898867, 0.32749222714385046, 1.2695673555444047]"
"[0.888376731277941, 0.44266164936080643, 0.6244305485719825, 0.6418359535644489, 0.6326814467926737, 0.14855885840500146, 0.3724695806256637, 1.1503858615242584, 0.4271550659370304, 0.41214279500217027]","[0.3601435977649825, 1.679892656567594, 1.9354402950219158, 1.2844853865665127, 1.2151155530757778, 0.7429973994501429, 0.14573209188644431, 0.21554814382941279, 1.558733540202405, 0.35067878064126917]","[0.3129118502314553, 0.9634131260956216, 0.6244305485719825, 0.21631852773370877, 0.6326814467926737, 0.6882916009452826, 0.17114590926941636, 0.16159056740096034, 0.4271550659370304, 0.17681089158184904]","[0.6278974643737645, 0.43738778752886515, 1.001010545660015, 0.3014596166781061, 0.2833659513111154, 0.11890076635106525, 1.0296122166238848, 0.1434831385351254, 0.17417387407024026, 0.1765584110006914]"
"[0.1293575014377925, 0.23095925134008116, 0.3070932837662188, 1.5679382135723066, 0.9208965648833767, 0.2344054484014107, 0.5042569206225683, 0.22159617415779775, 0.8947321190000516, 0.35496512124780577]","[0.6240649147659508, 0.8298510100244075, 0.14600099209544476, 0.6780856708596232, 1.44809761886107, 0.49322202837816936, 1.1777670641525022, 0.9119807942798208, 0.45771431820293423, 1.5639316732775603]","[1.083428553834246, 0.49025935452252206, 1.3477082796963324, 0.5596726933157142, 0.5528541433914993, 0.21008360726213313, 0.3724695806256637, 0.937592091281424, 0.41897841198810304, 0.41214279500217027]","[1.2822147951776772, 0.5948810442727884, 1.1511991635631584, 0.6636320515298686, 0.6407364260178889, 0.6766098791996719, 0.4081754744329174, 1.8072249716287772, 0.21464838133784997, 0.1927139035125561]"
"[1.262349372814522, 0.2707065750602878, 0.4874396854733478, 0.33734184902653547, 0.3659715650534537, 0.21767031211642093, 0.12998573597889898, 0.4800316575164957, 0.4652490308854774, 0.3817254998421397]","[1.7306520830468142, 0.25134575104625173, 1.4153664298114963, 1.1744816490186036, 0.8881023533482235, 1.8583349626066785, 1.7221169731139911, 0.17445063206898867, 0.27614134452471517, 0.5258314740699916]","[0.9831149057227107, 1.5119653971626192, 1.3275166657869868, 0.4613649471337675, 1.597937843431379, 0.12818455586438798, 0.10423433147244153, 0.538746429577739, 0.1801790897005666, 1.1853152940922627]","[1.590723673871025, 1.507950165836455, 1.7752234318581164, 0.4985198628048489, 0.9623559664800738, 1.6168597691308073, 1.483818438502478, 0.8030160142049367, 0.31156454105875314, 0.12675647899477152]"
"[0.7973486171549641, 0.7630409832530616, 1.0622429926914676, 0.22248299048644818, 1.6648973526607145, 0.21008360726213313, 1.8917800419847906, 0.937592091281424, 0.9121967964037514, 0.2903123564950182]","[0.9831149057227107, 0.13373891959094028, 0.46263940998645176, 0.13585109296703252, 0.7473006791208794, 0.1922969871088771, 0.9885863036225355, 0.12080529722042349, 0.1801790897005666, 0.2990402139351875]","[1.2822147951776772, 0.5948810442727884, 1.1511991635631584, 0.6636320515298686, 0.6407364260178889, 0.6766098791996719, 0.4081754744329174, 1.7868237142958683, 0.18670259295307798, 0.1927139035125561]","[1.3611812177828255, 0.25134575104625173, 1.9354402950219158, 1.2962867499253767, 0.22274049580125793, 0.43277892045195626, 0.6514960231160661, 0.9119807942798208, 0.8947321190000516, 0.17371306499854153]"
