gen0,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24
164509.6425131401,322615.2012271945,595098.1122972292,341519.4304451813,237582.60718626442,178174.42392639376,287685.69663837506,159559.45021515962,143637.2817488341,150182.41634060396,491552.5920620492,146490.58077234222,171421.6468624547,123299.83279916024,234044.48445751646,74215.06383766548,81971.17101398128,79104.54789433288,70378.93870118592,35496.34076159577,199882.40384752298,73684.96783560637,43843.377462101234,74251.53163154547,80200.75034934029
266484.5066800852,289622.35446070705,664765.1527566146,388935.1339574542,191591.16480003035,148491.18223269482,236944.6579421268,202111.56477138383,161499.72567251124,118710.91948588249,1013324.1827856468,80227.69777691166,149128.6801151376,114932.10403085683,45721.205450590365,41150.66523554253,87962.050749623,91404.01757431222,87934.28409305705,67707.53754942128,88219.74041566392,72212.10373847972,71687.3480389754,75447.0158492424,71558.27130605654
876758.866425109,240741.85823697614,228483.5583051931,269171.6655009487,303326.5614005439,103958.36472416288,43581.14947050883,130577.86234724624,105096.38818746891,168082.61105647765,229478.75922297465,445468.38054174103,42009.815586436525,253976.13820028547,585174.2718162115,92702.5284677757,59936.40143112306,712619.3913174998,89807.77592420386,57802.44187535487,902862.1075021272,72669.98456750881,1152123.4593272721,71908.72160574535,38732.946477927224
335101.67237896135,234988.5299056421,335262.21692016715,204411.90609955537,213544.10870201362,165363.8528600556,304737.6731114518,267475.9150746502,585770.925630524,113454.49635240581,388267.82509485306,166841.66692658176,69233.55280155604,157840.84896827556,106891.0943086632,81426.97891924783,68674.3943443866,1084520.5108600105,91147.77154428106,331254.760049738,75694.85445912505,31800.328777000235,92674.0469781293,288986.7722949769,43338.616535201756
364384.9141541996,660147.2102992877,167946.94897449302,231053.26753807275,249608.2269314417,288405.1327539424,161677.70319338364,604945.1697231397,666282.5809432003,120911.62139077691,211157.787555211,125939.02598387514,1110660.093557814,79626.00306643048,70503.76698259955,92702.5284677757,133595.65235237984,76316.71073397396,63838.42751457547,68336.71881029474,77766.14830792006,83722.6576443761,66993.40241585359,72286.52681571138,89619.54932940252
225797.88532051002,415766.79039539245,325658.68104500417,319838.07376798696,132424.1970054505,242682.21691578836,57018.30443048815,227094.7519857656,291324.08994563634,968660.4918664702,165912.16458264086,236082.5302019873,217151.3587245201,163687.38288755462,164972.88838971697,169916.92273282175,94203.65262886204,92093.76872141557,75804.39545672525,55638.73257675559,68495.5369001506,66716.79803615055,72033.92312500629,96599.18607916335,75154.19344992444
633763.4585813448,532583.074524521,373128.51530496916,284754.30827470997,155268.2146108792,228055.6307382983,749588.5983252154,267688.41151735693,292865.5829710585,696384.0458092628,141650.74705232013,161693.04794746535,165271.09022460363,102589.10698533541,136825.38128732445,156995.50714808013,133802.34671198635,98720.31607100269,67724.53126646395,275428.9623877286,67436.58939306243,83496.45663727916,75446.44514129066,84569.51588294574,57125.26417680456
367104.33840694604,365198.3891011477,240579.83929094428,284679.28822477174,224817.57214740175,126135.90940940927,133584.1967839027,410378.55176069133,1070338.9923495355,169172.96565969137,110423.27695921902,160870.3864789745,87373.8313409928,164623.27388332743,271786.40207500075,133580.00997207852,144562.22594917277,776234.9343899796,105042.56056456364,802138.746739759,105339.01565613152,71443.9174086474,85225.52708167491,68138.68592375083,70186.63202621113
415511.10893582716,288560.4810223172,403608.5070933734,259547.87412335,181005.21711488097,349564.55623311875,147422.08133524278,229513.07562347787,790143.0336251969,189504.08664679484,188406.5695108398,187156.41836896772,170712.84410045695,57223.159827522744,134309.88459495507,170785.73172829146,129002.41581793054,97385.45843828064,920217.2473092501,82863.4677558964,83921.71005990432,75509.4894829658,55368.198122545175,62337.00166215902,75587.77474911262
289323.7784178895,265677.4035454283,349806.84950074565,171814.1974540064,268500.01625728706,302806.2806090965,234717.81055932626,287570.51708948135,228955.5235847627,106948.47961920282,142707.69594876282,185625.28517647216,145114.93366021334,133806.50317336997,167067.46442510234,125513.78916408631,81651.40880799941,121400.95700530344,1205625.9071666966,86498.09036965715,53945.91819346488,79362.1228027435,83985.82667184752,73404.32332363538,75775.86971456457
412018.6474114624,153701.11583257705,241493.4095349082,183143.50369907933,106976.70783674609,160816.75676615018,265201.78741542343,867676.3878953592,214573.15632751083,669853.2710501594,125682.0306151285,139498.74101024593,168624.66092450265,174604.70087507105,176076.31822532672,101579.42537735679,192697.6422017315,81539.62526410715,103007.83143141316,83910.89464389606,60561.42632355293,58383.984732428115,62635.90819202368,80909.48725448576,96715.1106621452
351135.35337955557,276757.3519982323,396047.2509392692,258262.42018004498,224434.6577524947,160664.79804150452,214107.46565551066,58464.266785908265,211492.19206580924,167860.02974941224,137569.50118707638,244999.66958797863,62956.16230105388,249193.66620747955,236415.50145037335,109190.44989560863,83315.6577302701,62385.59658175505,82834.18503268703,66626.22019850055,42341.729541010296,65866.38404003804,1174921.4196799903,71060.90891138394,68059.05799788403
373333.26675008377,284081.1395473352,500000.0,264780.5967693917,328227.6631647571,334030.4100503193,192431.67400885193,127003.12849052515,62704.31931453815,183810.77507132973,113799.51916249006,107346.36994785472,455765.8957348435,184090.4879037032,143260.2873238144,168185.13874849878,139620.95199100813,75804.39545672525,500000.0,82095.9418226171,70722.16789315162,101784.86216653232,77215.84528046573,70841.03555037224,50886.70201389595
364287.47532734775,237654.8935780747,289789.87862326927,56967.15968040392,500000.0,327987.5007056234,151740.58014192386,132422.06000433225,136611.3808010026,106882.09069319464,170375.22101302302,180808.44478750118,168055.08236867556,463489.49799765827,83572.94244698,157649.78393361648,108376.78318413542,106961.52201817583,741294.6933851216,99405.93331151694,64715.883525927115,68005.94698199494,75154.19344992444,870891.234030026,83921.90511118848
416774.74607769866,343972.31481499993,267117.22098349285,271495.9766421527,365875.29414166714,148010.07362614534,167539.459913365,139134.6442795855,109169.21885308635,154750.44417554798,161318.16753220733,1081570.4583781592,154903.93716600642,125259.42575180944,215699.92930637216,162168.60668738582,778760.7549405647,92956.93234370304,80334.40384436563,490891.25466308615,88929.7078856514,47847.611599514144,364944.61733480723,80576.17711738715,500000.0
427611.9794188582,353498.399146055,240575.88920613122,448726.3536551874,424330.2609585112,154933.4411081699,263814.7241663477,147983.0360281723,167312.8790174878,106371.93907075579,184035.92442633767,97483.89577332622,178741.76624209233,222684.07795432545,169893.68403941463,159194.20970781287,1006555.8005150639,109378.10455849723,101379.07972643508,1033724.4061220487,37374.40050912992,689576.2271058956,105305.22653454215,72479.24925161237,70229.17733122088
112192.14969725099,242514.6382473025,250156.08467388517,328987.9621274257,234653.62744514932,235191.7801751159,170283.38826036802,214107.46565551066,160644.0492349097,178327.20429598168,107065.62032389772,713589.8743231865,500000.0,744660.305007362,223861.07923408534,85809.27768916506,84441.66197162395,65614.45624963778,88065.39391348648,81793.1821934173,63198.911674890325,43888.44039442926,42768.42348548157,67227.20762128435,77265.72273903029
305501.6036334833,424792.7715844317,293783.9718023401,179382.55158554285,235842.31440176087,171310.11436414448,243066.54072377313,269747.82939053746,172550.48353191736,184013.2382629293,184866.86783367285,172365.6929814895,219796.15441575216,1139491.8842828374,132798.6165233325,183430.38499340418,80347.55268665326,99050.5716187199,77540.03596255367,85360.02341164944,75975.55132326273,41952.973261289575,60658.36642131282,72549.49024576273,48772.116293805564
438925.8337067702,323974.57176619826,263941.39303201134,316246.03892233147,171814.1974540064,288297.7429701822,177700.8275289732,131853.90273846226,296984.83419749525,181846.43654349048,374349.3011290706,165469.99111700658,156759.30688411748,211687.63520992952,278260.8824105088,761600.5905991063,171555.93856470977,261527.88556543237,78064.58023047919,77293.6741159083,86498.09036965715,183529.32466717897,113773.64414390754,67421.0512379316,68363.46579927084
274096.2459402269,221538.64082041834,289178.1847038265,252074.9745895011,303907.00321662176,696693.7135122077,148015.03557770728,102707.92593101732,572287.9116399586,1248601.3946603974,956638.9274276148,99996.39876895312,161552.92646139924,277682.73947226955,81426.97891924783,192684.50658780962,185934.8122335512,261996.58670073305,62138.98527142572,68336.71881029474,68014.68325770166,78465.11648650432,323584.97747414914,69208.22554390966,113957.39026315826
105862.53106172751,954843.1776045843,347105.88827758003,242257.66409520086,351494.9387578246,676005.4578410515,230547.58574718345,230244.44081883214,265929.456411795,174538.09784729203,91160.24546566592,204063.55052456816,266211.05140231195,692665.9742031192,150729.9998464798,86392.47953480184,78186.34606870696,836367.518039224,78271.78873368826,72152.19298790024,89412.99774616293,74791.70410801533,77055.06130737819,93140.54699242597,46999.051324731074
372802.01244272245,328251.06164641073,162499.47582254448,305434.23373855115,265080.0961611053,410344.4924541054,359944.82175836375,214573.15632751083,132495.6860106246,225225.28376647568,97352.50584504436,588893.1062626132,694620.7295285602,133097.40187281772,131217.9619656786,148027.317323293,75804.39545672525,41112.383132351846,83235.16448533435,245279.3582561385,49868.740912021065,97082.84413067969,75360.29573315832,52561.66240533197,70566.4639498096
1492693.4020434755,231116.59945729905,293118.4347078785,306293.5718974179,284694.0779247975,163746.13860717468,164737.38325747766,147893.71531120027,212298.7285656407,963558.8673027875,133627.98969787394,97352.50584504436,547384.1326424272,63703.21622067533,149954.75013382005,140305.36254234257,142074.15841292622,458470.3925118212,61900.93733598107,69833.7841243297,79720.02769496976,103748.19781184202,66896.27916073203,42869.539308128,41466.713147320705
952099.9631137854,315296.00844831124,774208.829580468,592820.2449829623,244156.2029523176,190803.2980211859,135432.3403651735,157903.91063677467,86975.06576915557,458127.03494050854,78095.47074080806,427511.06800746045,592763.3719429176,152329.64532390563,146645.7317008535,151777.47407249798,96629.41484090015,208328.50981116225,72443.51476780197,76040.646446978,50681.14497536805,77553.02143617098,500000.0,43338.616535201756,73404.32332363538
257012.66721453588,623558.4583327771,314220.0978914335,106976.70783674609,517120.7927246763,407055.52810446755,163595.39109797517,182790.280614377,57095.75557081523,162842.87341655587,471393.3623708396,212144.97839441185,112571.40246455629,133157.8516841767,185270.11666205578,168934.88604195727,86596.53440304573,271920.30365945125,79870.23977293748,591584.1561727214,135896.64109156397,70638.09781368164,70666.65800982315,817978.3208085748,69969.65664377094
312264.69507898635,447394.16634573194,242345.92937428466,263676.43558898603,640497.5291450659,208593.66122790184,171358.19098461984,202055.859860816,172546.6233474603,161499.72567251124,172097.1181234286,338130.39448070957,163706.8005848928,125378.59411239735,245493.25254696235,138718.7119191294,329386.4557314402,757729.4617590483,91185.33644758123,66977.29627755136,881207.0609004822,80657.12392368406,72200.78447307841,48772.116293805564,69024.54500317475
452657.6935815596,449747.05232468166,232418.14443812403,389539.24115662876,209083.0789534413,408997.4336924912,171310.11436414448,266879.72873858514,197956.08522348883,162479.85002483852,230990.81828218582,214197.54987477575,158946.98347419215,709424.3909857174,761489.7669439485,96179.30639036314,126765.59825202162,109943.43500489186,77943.71098076977,86415.58931740295,808461.4582875917,70226.01801350823,63449.31636172146,68205.7666895622,43116.50258106585
80961.4707509263,396583.9945236913,338026.1068186027,283573.08352436183,164565.387116844,389771.8236505631,133445.46014859463,273262.47720288386,231043.32636926742,142707.69594876282,101125.95280223963,174500.83664246622,204645.41554505407,173421.5715708324,630881.1181937978,148868.3909194152,205677.73103556567,188245.04135615693,73304.02558831603,69948.64304059272,72680.77428586662,98220.98161162362,84401.04639777857,86571.3131401336,55299.19223373022
438915.07496523357,433201.7575433553,274460.62262030185,318331.6980098274,56967.15968040392,125407.09358107549,171651.82596617454,173669.20587169315,398534.45247292705,145139.216006969,163146.16199193828,119326.45191683402,454565.1102608436,259965.24418215937,144406.60130310306,190236.29949711123,125513.78916408631,96781.63647822522,69841.82048094744,104149.6630683802,118555.28694350473,48515.53785375666,60476.37145663981,49852.03169480365,75154.19344992444
255179.94981136447,409829.19639112486,380894.7081473921,237363.6366388345,352649.98030591826,188641.0384428007,374597.0301759203,157927.9231697689,730022.1266036982,112847.85714369561,172757.61104764187,175364.94955746256,267140.2251478119,154467.03262467173,122211.83472410611,154157.2296085407,72109.26920027004,294275.7398740673,65486.43092115383,197038.602815483,76493.73877679986,63229.00257413101,71428.13948474317,67133.72153810703,66335.56990061796
417728.6075099606,334707.2819148002,170151.02535734687,185482.3158228672,185520.343702272,237716.1802618734,129572.52769886405,193536.04004823242,188549.19688817833,219511.88636621513,297976.7442192378,176995.93796162098,773414.6421664127,107987.68826615336,124998.58539363908,72941.36952513098,72941.36952513098,72038.24222276479,77388.44709528025,83280.16596649835,48515.53785375666,80848.66587160496,72072.36004807484,50749.49030319332,51524.78156436685
398965.6765141356,525691.5998895206,446542.41137444164,217285.86690829694,303239.4121833226,57018.30443048815,233532.6771309146,138243.37946721178,743259.2453701425,164830.4648555211,199122.70816612488,350726.2112090732,489733.5462995606,159365.22819366888,126904.01839339323,69539.53520496172,48594.919151508686,115529.05684041066,78038.18744241579,77943.71098076977,53142.99192315289,57504.330023397866,51712.916082204494,71241.58591101131,57415.27714457707
358516.72499952576,355782.6811499239,205838.0631947593,237178.0287856153,238974.2378265923,230916.9072056302,202707.6022723981,230441.0516347494,212444.0455226208,203411.47984269005,107125.84760023345,192366.0364195209,160419.7551839858,661665.8985705122,128377.40475177905,166741.4580999549,431404.5324491699,93259.83384514035,95549.5070424785,68919.83119082563,72739.48911401653,749188.8138720766,72080.8408252265,72789.73623686396,61221.23822184245
258428.58022325562,278373.8746097582,246009.0163302021,302870.15354533313,276538.9118879999,252918.66791949017,235422.4610112733,190936.725720238,176536.74881804403,159864.53310792637,447864.34236373624,167354.19316009738,90405.75080474695,559932.9329725847,152780.89741183273,48594.919151508686,75068.13667118164,87934.28409305705,95736.25431951255,226567.07910325838,51264.47365743999,643978.3788174893,99576.94297407413,60388.609607158454,68434.70548407476
420620.6390719663,382849.48695780395,280604.6770553506,262090.24131070374,347609.8503931047,201521.85637812314,256608.38333791765,210679.00922342765,178294.95935637355,154422.8959301883,132495.6860106246,73769.80283690512,200660.87155215698,193050.27055336564,230054.63937075573,180338.77559894134,261527.88556543237,82834.18503268703,70895.47315842104,64024.649597157964,63958.32592596421,80084.5906608135,48081.146910601165,38201.95510556309,50629.15317028498
157290.17415894128,322664.79997135943,410108.8699079609,491617.06825702643,260600.77046180482,148010.07362614534,276170.54302229465,216700.34745705352,146313.26301690398,202055.859860816,142158.54598910882,151194.95277984327,151816.4246429312,126852.23183011211,892246.1281594096,85364.84042952693,653767.3394145358,89142.02372720052,79552.35747736691,51054.46572943997,42566.59036303275,79280.63082719911,873650.9030106944,71542.41969041953,44945.00667092685
158094.0085639907,370439.33059521404,202421.7719440498,191798.02528343847,237582.76068839285,165363.09065199108,330823.58892388665,57095.75557081523,187231.8419401619,159333.03292862506,436227.97459117154,250959.9013353134,210520.4389366999,186619.11453705915,146365.3121710532,165932.86123876518,161404.2513984451,107695.43552199678,82312.43350369312,95336.47521217453,98411.0280415605,72621.06558439512,70559.69854486425,33371.15002325979,81441.03352279763
348650.32809594576,289917.68731258006,210344.29059018652,285267.8438859555,148010.07362614534,252270.1872374612,244071.58471270755,61133.20789714804,675460.9632048741,172859.03481706005,905140.9808345359,584467.7859860497,126652.05596226992,1028349.8801665681,61258.25167162946,615053.1175286631,80730.1326909497,72576.26363769775,88319.78726278679,108826.94957947117,74640.52685427586,73847.92659126261,430947.9295049497,42605.28098792865,51645.98004041175
268184.4036258551,193647.49196579322,243016.43895209738,234242.65625776828,231053.26753807275,207741.0469237584,166788.72104163415,277969.5961745917,323809.90699356346,209199.31611641136,165346.08919547067,66734.74517496052,124532.91149574377,500000.0,171368.27955327462,41150.66523554253,103059.91956281448,107068.67505595063,100428.6175730002,92823.32467762087,57718.85141674365,746555.0175241542,69396.44280060916,72080.8408252265,54846.88704147708
