gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24
"[0.6637343705407183, 1.5510943754208202, 0.273031182402233, 0.2731738616234478, 1.132477445953722]","[0.11180993558193589, 9.138898167581047, 0.5242350102565866, 1.859933375718427, 1.1687191042913108]","[1.580652697676698, 8.816023534296317, 7.538949048440016, 0.12352283387644318, 0.558672203982706]","[0.2243659017396985, 0.18799301062622042, 7.130250437809631, 2.2497623849156954, 1.5148607923256245]","[0.3773954187541551, 0.16323377875589323, 0.11709175299259583, 0.4540757764849195, 1.6564504393484945]","[0.33833511528377147, 0.44314763630817633, 0.10293074731268233, 0.447500093533255, 1.6564504393484945]","[0.387572932984347, 0.23544221994639766, 0.11709175299259583, 0.11809856585351343, 1.6564504393484945]","[1.144898588808921, 0.8482729330206331, 0.3084147143219716, 9.257412509477463, 2.227836270383835]","[0.6827527027689343, 1.8126827427154044, 0.28452649745115055, 8.803127315999065, 0.2707414759541734]","[3.684538376506688, 0.804899773977046, 0.13735467930388, 0.13238141229475933, 2.629174157966877]","[2.3142392865813184, 0.16784977039083393, 0.12050578193424825, 0.2488008811580614, 1.6564504393484945]","[0.43754936225846464, 1.1731246667025936, 0.10882886139048414, 4.6928651159041594, 1.058594618452131]","[0.6333323000343752, 0.12898411695212975, 0.11690832605408198, 8.090785023872465, 1.1060975853983808]","[0.3673173043469328, 0.1478930978031877, 0.14092526742985106, 0.2561557965015772, 2.3557178349262204]","[0.5407589559205251, 0.8208573262653855, 0.24250995293631697, 0.6434809829685774, 2.8397220871509936]","[0.5020146471201132, 0.8020070755475053, 0.1023298680220072, 0.1582193869776292, 1.523634647587703]","[0.39968501137707846, 0.8082271110729863, 0.14092526742985106, 4.959267841693737, 3.702906736145446]","[1.0666811441189814, 2.279215471726097, 0.1160076229768669, 7.274149233751051, 1.0102541493600015]","[1.050865281646525, 0.7108533895055243, 0.10065303163404556, 9.751045058222955, 1.1533475796389527]","[1.9814340102444277, 1.006297268537535, 0.14092526742985106, 5.2429332394542145, 1.383138561932045]","[0.9983913277014433, 1.4699969126244867, 0.10908079763738691, 8.730787731284616, 1.9171567222949202]","[0.965862436824547, 0.5842129711783635, 0.1306966734500758, 9.766371688208276, 1.0102541493600015]","[2.3142392865813184, 1.9652011432184877, 0.13198136417721013, 8.94931011291103, 0.5533728194100722]","[1.507813452699258, 1.9913244543563329, 0.15653361707072827, 8.160629823962518, 1.1533475796389527]"
"[0.47801336712693043, 5.794105666768495, 2.369658918371175, 0.47375999369375515, 3.62283565253652]","[6.782212726148746, 1.9722978291308548, 0.17089200657524212, 0.34396008646112086, 4.203879494374288]","[3.968600828682058, 5.591103069783184, 0.1303840735269557, 0.18424575345326138, 4.0418360695082525]","[0.2360334515345999, 2.5739063757803535, 1.3534410204463434, 0.9902550847049664, 1.7460402321610522]","[0.43204216127447936, 0.44314763630817633, 0.10293074731268233, 0.447500093533255, 0.922089422510197]","[1.090611688716973, 0.9227829956829269, 0.279276912992059, 8.090785023872465, 2.324323319600412]","[0.3941638566118883, 0.18024597756339875, 0.1147937839936404, 0.4540757764849195, 1.9306673969421946]","[0.6094468899955091, 0.9011956473602675, 0.10293074731268233, 8.880292321306406, 1.5148607923256245]","[3.3490285542936937, 0.20710180729845803, 0.27766382508831694, 0.1287802754186428, 1.5148607923256245]","[2.4377421418112553, 0.13720559738081292, 0.18332899258608104, 4.800833642801152, 0.4603858326691229]","[0.30831568137199084, 0.3627935961456164, 0.11372943825163165, 0.8824986909478134, 0.22638654407195383]","[1.2313519689827892, 0.1872326100270872, 0.13556335454259322, 0.8008831876462251, 4.629889651351987]","[0.33117902059340226, 0.8021551292477272, 0.13865044988090297, 0.10906865034917222, 0.888206255502368]","[0.4209156367776727, 0.22851109575957934, 0.1160076229768669, 0.1201633270843934, 1.7036876223486448]","[0.24986586761410792, 0.17946752368710506, 0.14508092484513263, 0.12847764059874717, 1.5148607923256245]","[2.4377421418112553, 0.15108435098867595, 0.27766382508831694, 4.167024874471613, 1.9627086198427592]","[2.377485747145753, 0.11868037467636686, 0.1299409979263345, 0.22072090026767388, 0.4459438351343558]","[1.4278280991362007, 0.15599599387671287, 0.18159960956876112, 7.882447129499442, 0.4459438351343558]","[1.1717529620844163, 2.1479653321043344, 0.1160076229768669, 8.14004682615475, 0.42596124547403047]","[1.4278280991362007, 0.9175227789007001, 0.10871398404911742, 6.591310799857645, 0.9141346611363897]","[1.2363010137213275, 1.0944206655774453, 0.1160076229768669, 7.757807322473398, 1.3999196618861922]","[0.9280445383230932, 2.1479653321043344, 0.1023298680220072, 8.608556964419552, 0.5527278340169443]","[2.3066625203371203, 0.9462809325871913, 0.1160076229768669, 6.90198346090198, 0.5596329484203298]","[1.507813452699258, 0.14945046321840538, 0.15653361707072827, 7.882447129499442, 1.3180671459367628]"
"[2.1901486666365484, 0.5296107481017034, 0.12491338190521394, 0.19193863096379005, 4.0418360695082525]","[0.10881587033638099, 0.32013810419695465, 2.6985070805826847, 0.14038960863549016, 0.9842536343681383]","[2.4377421418112553, 0.14654343705262227, 0.1334258349313728, 0.20661210177491485, 3.5415206198804654]","[2.1774527995402764, 0.13161562335051208, 0.17924622978722038, 0.12651075586645932, 4.586577471523909]","[0.578986434674873, 0.20320510123567057, 3.6097843108799355, 1.3531784574099188, 0.2707414759541734]","[0.3773954187541551, 0.18024597756339875, 0.11709175299259583, 0.4540757764849195, 1.6564504393484945]","[0.1437157273163316, 0.21547568177295878, 0.18694569770245026, 0.1181681904964054, 1.1231535049483763]","[3.2942607701793762, 0.800989153777181, 0.28452649745115055, 8.803127315999065, 0.2707414759541734]","[2.3142392865813184, 0.14602985056532583, 0.11709175299259583, 0.29099731233431303, 1.6084080515726937]","[2.1901486666365484, 0.8196477054929058, 0.1224267487427364, 0.19903978665059985, 1.4110721516089884]","[0.4203117565278268, 0.12558530889344485, 0.10293074731268233, 0.1240667471900075, 0.7974798132434472]","[0.3225229294813705, 0.7872226671071768, 0.23879363691002878, 0.48724353669666765, 1.7036876223486448]","[0.49360763366650395, 0.9670427917504799, 0.14092526742985106, 0.6854739873515125, 2.419768185121228]","[1.144898588808921, 0.8196477054929058, 0.28423483620182843, 0.1298156371460976, 1.5148607923256245]","[2.3142392865813184, 0.9948646554741383, 0.10469014200848877, 0.15017194196333258, 0.7907042798624484]","[2.4377421418112553, 0.13976309785671887, 0.26240812930784513, 4.800833642801152, 1.5218934939711002]","[0.8976164191933077, 0.9676572222092394, 0.17256619244640853, 0.2221165379583977, 4.007396772907587]","[1.0205525753557583, 0.2100358275248694, 0.13170476803123718, 7.114995699618378, 0.8049259398173458]","[1.091365321543268, 1.0878820338401665, 0.28413384256705604, 4.62470089988257, 0.8752644379169555]","[1.7127393568012172, 1.006297268537535, 0.14326827646988016, 3.9744834946749314, 0.23638097316817924]","[1.8240877220275382, 1.6143025499015549, 0.13865044988090297, 4.66462440313287, 0.888206255502368]","[1.4278280991362007, 0.9175227789007001, 0.10854232449247843, 5.9523479150367375, 1.003194034982776]","[0.965862436824547, 2.184629383636046, 0.1160076229768669, 7.979344058417434, 0.6519355771960322]","[0.9713675068929384, 0.14650784061631034, 0.10616665346001407, 7.882447129499442, 1.115858205487247]"
"[0.7264817682326113, 1.1355903643538068, 3.761630994843145, 0.17590793387924122, 0.15745719468221003]","[0.14074171620347906, 1.3741087126444167, 0.7443816302571882, 1.4089926286731294, 6.247597444465228]","[4.050405395454031, 8.626934868769807, 7.538949048440016, 0.14008731986349804, 0.558672203982706]","[1.090611688716973, 5.67011528897811, 0.13028960793468494, 5.156382931682375, 0.9240790025820929]","[3.399407455419218, 0.5646250653100242, 0.2654144992568978, 8.090785023872465, 1.314449791631855]","[0.3587648463190243, 0.634604186028781, 0.21388484449202547, 0.7927496149056532, 1.60260680137918]","[2.1901486666365484, 0.8658075029927055, 0.10293074731268233, 0.1240667471900075, 0.922089422510197]","[0.1565614225983678, 0.8312418847252858, 0.10552281540474755, 0.1317721236696631, 0.922089422510197]","[0.40077687218800867, 1.8126827427154044, 0.11180298305631164, 0.6854739873515125, 3.0748518611833644]","[0.6647216667766397, 0.8658075029927055, 0.1042837081557517, 0.13011195194675415, 0.922089422510197]","[1.1747406867832453, 0.2225808367237755, 0.2783787112784309, 0.7018694722123491, 4.8875693898971635]","[1.302706965746331, 0.1346692371316754, 0.17924622978722038, 0.11994679251947112, 0.888206255502368]","[1.090611688716973, 0.16323377875589323, 0.2513714675947213, 8.090785023872465, 2.2151335875596088]","[0.9804817824046692, 0.8000498100881133, 0.12219825904882269, 0.877189286177016, 1.64352988178126]","[0.6240299534365958, 0.20710180729845803, 0.12518309402292782, 0.12847764059874717, 1.493021514368182]","[0.4153057170625868, 0.8196477054929058, 0.1023298680220072, 0.6854739873515125, 0.4459438351343558]","[0.47885545508715327, 0.13413821320639055, 0.10833109186471318, 7.451236257645998, 0.9662396408422461]","[1.2598127447515075, 0.8911586892909319, 0.10096003594437448, 7.256959039611655, 1.9134163354456193]","[2.6079822933308505, 0.7288264567545726, 0.1286882567536407, 7.882447129499442, 0.3936042645739303]","[3.2633072029844845, 0.19641903083454118, 0.2646209741723001, 8.679139370012974, 1.3228899042261375]","[1.091365321543268, 2.275097556787562, 0.1023298680220072, 7.882447129499442, 0.4459438351343558]","[0.9511198396859225, 0.7071993183993536, 0.128787487103054, 8.865811076683945, 0.4459438351343558]","[2.3142392865813184, 0.10767754670180818, 0.12112658120760668, 8.458748840415502, 0.5533728194100722]","[1.091365321543268, 0.7108533895055243, 0.10616665346001407, 6.878557932513254, 0.9911417397065241]"
"[8.653792806768152, 2.4345999419664235, 0.7459013266116314, 0.2966219128552589, 5.08160295156357]","[7.596733699595981, 2.082324273378833, 4.703224052620217, 2.1750053104896114, 0.40056195645883597]","[1.580652697676698, 5.591103069783184, 0.414900201239731, 0.44431993692584315, 4.671357688826333]","[2.647897717743426, 5.182428337480311, 0.12491338190521394, 0.1181681904964054, 0.7897671515809928]","[2.1901486666365484, 5.143771666453731, 0.12491338190521394, 0.34396008646112086, 3.8211225283883308]","[0.1437157273163316, 0.8658075029927055, 0.10293074731268233, 0.1240667471900075, 0.922089422510197]","[0.19039544703743508, 1.5316171318950311, 0.2063461185637916, 0.1628245678950356, 0.9842536343681383]","[0.5244310620460786, 0.18024597756339875, 0.11709175299259583, 0.5212394032045025, 0.9842536343681383]","[0.47533978791269765, 0.18741097189131092, 0.10600895050567646, 0.1302034452431061, 2.896796152038216]","[0.5861600331468064, 0.7223378337737126, 0.3415120830762468, 0.11198082918870432, 1.2106298381939535]","[1.144898588808921, 1.8126827427154044, 0.2780544383986432, 7.770831421646105, 2.227836270383835]","[0.24986586761410792, 0.8208573262653855, 0.24250995293631697, 0.6434809829685774, 2.4458469526738695]","[2.3142392865813184, 0.16784977039083393, 0.13865044988090297, 0.2270111109488198, 1.6564504393484945]","[1.009696405268541, 0.13413821320639055, 0.1129864083435133, 4.688943508112517, 0.4603858326691229]","[1.2761278101079974, 0.13659778107394213, 0.10669440906878094, 7.924599563931389, 2.274191628317022]","[0.597117914310836, 0.8021551292477272, 0.10144067367666022, 8.888390713976651, 2.742389641028147]","[1.1507579584311396, 0.7071993183993536, 0.22445083352487075, 8.295798018960632, 1.8000409881233608]","[1.1491737498568397, 2.1479653321043344, 0.1160076229768669, 8.990770784807962, 1.1533475796389527]","[1.090611688716973, 0.762209025081708, 0.11529618090484764, 8.975268825333744, 1.675402548693154]","[0.9301215075468248, 0.8922627822303701, 0.1298605574288149, 6.667118579157264, 0.4459438351343558]","[1.3923895596271603, 0.15108435098867595, 0.18433073580906956, 7.882447129499442, 0.4459438351343558]","[1.091365321543268, 1.5735991543826267, 0.10616665346001407, 6.492154213057806, 0.9508155764770214]","[1.8375649147636133, 0.10651337767518458, 0.13064719030970162, 8.14004682615475, 0.4250066224730533]","[2.289002814232474, 0.10821138527998105, 0.11796998205201653, 8.130725797491262, 0.5509613468324694]"
"[2.2661577207603805, 0.44412282977115397, 7.660269965705258, 0.18335626796908078, 0.10426315153760315]","[0.2657015532593955, 3.4506079686907762, 9.592280560039393, 0.2852743144920612, 0.9213674737981762]","[0.1890459476543492, 8.382925390162427, 0.12589935734577506, 0.18424575345326138, 4.4046225214437085]","[0.743102458492446, 0.14770266274966345, 0.18178547923402635, 0.19807243196429022, 0.888206255502368]","[3.8926952159419366, 1.7723426343666273, 0.25334843829723347, 0.1181681904964054, 0.7897671515809928]","[1.1613453485493215, 0.9670427917504799, 0.2783787112784309, 8.500631718430899, 2.227836270383835]","[0.5244310620460786, 4.643689857737219, 0.16689083126673787, 0.2568943697706464, 3.8211225283883308]","[0.4386281641894386, 4.643689857737219, 0.16694161042606517, 0.1892442921704067, 1.8523504999440084]","[1.1450882406878933, 0.9227829956829269, 0.279276912992059, 8.309550467197777, 2.563382322320107]","[2.4969351780181785, 0.16784977039083393, 0.12050578193424825, 0.2488008811580614, 1.6564504393484945]","[0.24986586761410792, 0.9227829956829269, 0.2063461185637916, 0.7821275629159029, 1.7294231865351326]","[0.25049927047616233, 0.9608156983619099, 0.22073379760710746, 0.14141581325108724, 4.702360358702876]","[0.33117902059340226, 0.8021551292477272, 0.1286491166473774, 0.12350276712123205, 0.888206255502368]","[2.3142392865813184, 0.9392984210994116, 0.16649073634902117, 8.888390713976651, 1.7036876223486448]","[0.38762047168797886, 1.6059649021776408, 0.10921256219543882, 0.6660621573403966, 2.552614590477614]","[0.965862436824547, 0.2698029568338779, 0.10144067367666022, 0.792459851876081, 1.3448362099363182]","[2.720055890816695, 0.7668632731654188, 0.3006731660355218, 6.274934672386423, 2.400893249338377]","[1.3476041613245335, 0.8817734002562778, 0.1160076229768669, 8.14004682615475, 1.1282093635097976]","[1.0930510506643827, 0.9392984210994116, 0.10908079763738691, 8.954544371949224, 1.3999196618861922]","[1.4278280991362007, 0.13835527304188677, 0.20095136735812164, 7.882447129499442, 1.0102541493600015]","[0.9395535562547102, 0.7108533895055243, 0.11650910503770952, 8.65851262382632, 0.47751202924405634]","[0.8283351027766341, 0.9392984210994116, 0.1160076229768669, 7.882447129499442, 0.8244327037141423]","[1.1107127549800873, 0.8082271110729863, 0.12670799268092062, 8.624162336994189, 0.5533728194100722]","[2.3142392865813184, 0.11885671817212905, 0.11812480470416181, 8.57787557732865, 0.5077951082417483]"
"[0.7403455611948043, 1.0310971767074364, 0.4268992293732573, 0.17590793387924122, 0.15745719468221003]","[0.8800958801011437, 0.6854863293008282, 0.10271853858540356, 0.18424575345326138, 4.0418360695082525]","[2.6202200476176207, 0.14654343705262227, 4.659307295389884, 0.5448157653923673, 1.5727865229759708]","[3.3490285542936937, 0.850937146002521, 0.2841652503661441, 8.090785023872465, 0.2707414759541734]","[1.0336342975867936, 0.3414640677290714, 0.10293074731268233, 4.728528976564808, 4.007396772907587]","[0.3728553509654212, 0.1156966543360679, 0.10293074731268233, 0.5372175033798976, 4.2382790134162915]","[0.1590563784910683, 0.7918835429205483, 0.198703968017843, 0.7745639822797165, 4.2382790134162915]","[3.2942607701793762, 0.800989153777181, 0.28452649745115055, 0.1302034452431061, 0.888206255502368]","[2.30178301712348, 0.8208573262653855, 0.1779244094249341, 4.800833642801152, 3.5316218555369954]","[0.3100617610513192, 1.0251999980640962, 0.2783787112784309, 0.1287802754186428, 1.5148607923256245]","[0.3773954187541551, 1.284741066937326, 0.25090466022857766, 0.6854739873515125, 2.4205320884614783]","[0.3225229294813705, 0.7872226671071768, 0.1950567352231088, 5.358537073647368, 1.7036876223486448]","[1.1607411139452257, 0.5613543370064978, 0.136129507065782, 0.4764471196415181, 2.122073347703017]","[0.38601320700100494, 0.9948646554741383, 0.1198504087671068, 0.4696176580187391, 1.946145074846221]","[0.8466984909228479, 0.8208573262653855, 0.10096003594437448, 0.11414490911729189, 2.1529817488679415]","[0.37959440270963524, 1.9348176527791539, 0.1198504087671068, 0.5834925504977908, 2.8547375966722006]","[1.432214648709788, 0.9462809325871913, 0.2690249144975612, 7.184821897510211, 0.888206255502368]","[0.9430742104266574, 0.20851450467760632, 0.11140182847571214, 8.540237644846082, 0.9180687182647197]","[0.9560571858918022, 1.1464599400781288, 0.15767081589867535, 6.453560265095936, 1.4530748614269025]","[1.090611688716973, 0.1963379304785249, 0.29291561382941395, 8.289910941995576, 1.9134163354456193]","[1.3261893684256107, 0.10767754670180818, 0.10904323451755028, 7.979344058417434, 0.5849128596951795]","[1.3476041613245335, 0.9462809325871913, 0.14092526742985106, 6.1874851201882635, 0.5533728194100722]","[1.4163476378613271, 0.19388011832280566, 0.13316482312169997, 8.285267846036898, 0.5761879758213484]","[0.9278794093467908, 0.920365654066439, 0.1306966734500758, 9.701167491192988, 1.115858205487247]"
"[0.8267239245842151, 0.5557614274662263, 3.761630994843145, 0.11014497893422574, 0.22909167504030856]","[2.1901486666365484, 0.48490904869143653, 1.0604576064930653, 0.12772422004879977, 0.10467177754079052]","[7.596733699595981, 3.4506079686907762, 4.726764843256152, 0.19807243196429022, 0.40056195645883597]","[1.9656814271061567, 0.5202235559175539, 5.333282218613308, 0.5372175033798976, 2.366288272677607]","[1.1576353363887515, 1.495025734900338, 0.18694569770245026, 0.47627016773414327, 1.2664866775247328]","[1.2352634858311209, 0.12286026531931264, 0.18279259578467022, 1.4599402257925589, 1.630093198958593]","[2.4377421418112553, 0.14654343705262227, 0.3084147143219716, 0.20661210177491485, 0.40056195645883597]","[0.7859975119229625, 4.781823100334644, 0.6351401494699409, 8.803127315999065, 0.2707414759541734]","[0.9035664901587724, 0.9401189687274113, 0.12567571715428041, 7.503896361440478, 2.227836270383835]","[0.6827527027689343, 0.13510338243954853, 0.21087159877915046, 0.5298825847221192, 2.0250272142170402]","[0.508688131800279, 0.9074574173286368, 0.10293074731268233, 0.7821275629159029, 1.6564504393484945]","[2.4377421418112553, 0.13413821320639055, 0.18998584796071472, 0.4769148786416819, 0.39342792371233903]","[0.3972450324781357, 0.20339229308820544, 0.11709175299259583, 0.5212394032045025, 1.8302615018372919]","[0.3697925332116408, 1.8126827427154044, 0.12802334678208294, 0.5886170854594788, 2.7819111690126244]","[0.25892113824593926, 0.762209025081708, 0.1502594212533425, 0.1298156371460976, 1.64352988178126]","[1.385444530310681, 1.0944206655774453, 0.10669440906878094, 7.882447129499442, 0.888206255502368]","[2.3502379128857007, 1.0878820338401665, 0.13758516741401267, 8.982964419442313, 0.888206255502368]","[1.255371286559061, 0.1343331958947748, 0.15767081589867535, 9.719891197385705, 1.3296311812623685]","[1.432214648709788, 0.2528170024557479, 0.1160076229768669, 8.14004682615475, 2.469382590284119]","[1.334093334953762, 0.2540341734308577, 0.10908079763738691, 8.108058802621281, 1.3999196618861922]","[3.401380274450333, 0.19641903083454118, 0.29291561382941395, 8.336948182384868, 0.2526885758350651]","[1.0930510506643827, 0.7108533895055243, 0.11374089428041602, 9.751045058222955, 1.115858205487247]","[1.507813452699258, 0.15166304870694178, 0.16555606083622684, 7.882447129499442, 1.1533475796389527]","[1.4278280991362007, 0.936978950488212, 0.10871398404911742, 8.458748840415502, 0.9141346611363897]"
"[0.6866016079342787, 3.3796244165158833, 0.7980338721695853, 0.977292448702103, 0.47476593573069614]","[0.8204368038644857, 0.5646250653100242, 0.16562209779882708, 0.1540509363021149, 1.8523504999440084]","[0.7724449512764627, 1.3741087126444167, 0.11735272912292873, 0.18424575345326138, 0.888206255502368]","[1.1576353363887515, 1.675932294491655, 0.18694569770245026, 0.47335310018357196, 1.1698067134534582]","[7.596733699595981, 3.255942500764876, 4.726764843256152, 0.17599772649752013, 0.41234627596049733]","[1.090611688716973, 0.9005318149152601, 0.279276912992059, 8.090785023872465, 2.227836270383835]","[2.3142392865813184, 5.526287427308578, 0.14092526742985106, 0.11361141648448232, 0.9847297345380495]","[0.6094468899955091, 0.8334358171615387, 0.10330269794269989, 0.792459851876081, 1.4190345303012308]","[0.6210023583759902, 0.20568102932668322, 0.33706750450666007, 0.13930201086180252, 4.007396772907587]","[2.3142392865813184, 5.526287427308578, 0.16178572948237352, 9.790875355773949, 2.078522517953058]","[0.3767570291392422, 0.744545757027801, 0.12050578193424825, 0.7927496149056532, 1.9099114360969993]","[2.9964511611134044, 0.11868037467636686, 0.1508258910260743, 0.6836201974621597, 4.203879494374288]","[1.251472568464943, 1.6425372399875489, 0.10144067367666022, 8.888390713976651, 2.9145788458483657]","[1.090611688716973, 0.15108435098867595, 0.2513714675947213, 8.090785023872465, 2.2151335875596088]","[0.965862436824547, 0.22851109575957934, 0.10144067367666022, 8.888390713976651, 2.742389641028147]","[0.965862436824547, 0.22851109575957934, 0.10144067367666022, 8.888390713976651, 2.742389641028147]","[1.1657923002651345, 0.7108533895055243, 0.10144067367666022, 8.888390713976651, 0.47751202924405634]","[1.255371286559061, 0.20851450467760632, 0.15653361707072827, 9.305970801484582, 1.3296311812623685]","[1.255371286559061, 0.20851450467760632, 0.28413384256705604, 9.719891197385705, 1.0871925282588197]","[1.3261893684256107, 0.10767754670180818, 0.10904323451755028, 7.979344058417434, 0.5849128596951795]","[1.0240132394014185, 0.7071993183993536, 0.1286882567536407, 8.865811076683945, 0.4459438351343558]","[1.4278280991362007, 0.15108435098867595, 0.17142720378810464, 7.420808477398632, 0.9772120004736575]","[2.3142392865813184, 0.17590525930133166, 0.17888466814401124, 8.06199946449843, 0.47302083620192636]","[1.4163476378613271, 0.15108435098867595, 0.10226042815637293, 7.914726470216434, 0.5882933023069129]"
"[0.39256675917459855, 0.14410391456947533, 0.6641331273329982, 3.9980594515707546, 0.4332486347232539]","[1.975178081585426, 0.7545531772797637, 1.0105052281963138, 2.300901317908827, 4.802525619521684]","[0.13796198323367329, 0.14770266274966345, 0.18161620158571537, 0.19807243196429022, 4.139204666335312]","[0.39479371347539993, 0.1664012560182034, 1.6648215497837082, 8.455871843287664, 0.9646028238463331]","[3.290961307154609, 0.5646250653100242, 0.29990614757950323, 8.090785023872465, 0.2669687401686189]","[0.3844564499576445, 5.591103069783184, 0.11180298305631164, 0.12352283387644318, 2.2428258761409454]","[0.47695092201459344, 1.3520076642705672, 0.11664257761209021, 0.6854739873515125, 1.8794082330730144]","[0.40814286929714566, 0.9011956473602675, 0.10293074731268233, 8.880292321306406, 1.5148607923256245]","[0.34304346132018687, 0.1260960234192838, 0.16562209779882708, 0.6055911940232948, 1.5219344621920339]","[0.5020146471201132, 0.15836045813164445, 0.19167119077825867, 0.16829559941585528, 0.8153487546821642]","[2.4969351780181785, 0.16784977039083393, 0.2780544383986432, 0.2488008811580614, 1.6564504393484945]","[0.2986101258246934, 0.14654343705262227, 0.30678529429826557, 5.367457629351846, 1.5624989861454937]","[0.6291889588897523, 0.952309835000113, 0.2821263183584806, 0.46988742793400406, 1.4072275843626192]","[0.9430742104266574, 0.16323377875589323, 0.11091643163047762, 7.433506564674989, 4.007396772907587]","[1.2363010137213275, 2.2956462710733705, 0.1160076229768669, 8.14004682615475, 1.0102541493600015]","[2.4377421418112553, 1.6300012648909248, 0.27766382508831694, 4.800833642801152, 0.4459438351343558]","[0.597117914310836, 0.8021551292477272, 0.11244637510007818, 9.751045058222955, 2.6661368970825925]","[1.090611688716973, 0.762209025081708, 0.10908079763738691, 8.108058802621281, 1.3999196618861922]","[1.1491737498568397, 2.1479653321043344, 0.1160076229768669, 8.990770784807962, 1.1533475796389527]","[2.3142392865813184, 0.15108435098867595, 0.15653361707072827, 7.882447129499442, 0.4459438351343558]","[1.3419440430666074, 1.9913244543563329, 0.1023298680220072, 8.160629823962518, 0.535981125360843]","[2.3142392865813184, 0.15108435098867595, 0.15653361707072827, 7.757807322473398, 0.456107949767366]","[1.4278280991362007, 0.9392984210994116, 0.12081561254876032, 7.420875849185479, 1.096860390476807]","[1.9814340102444277, 0.7897015094307305, 0.13316482312169997, 8.285267846036898, 0.36586233070428836]"
"[1.9133907774779968, 5.793894974744819, 2.483834183475211, 1.5035940106022418, 3.263752428757284]","[7.441801387045867, 0.8658075029927055, 0.7495258190860432, 9.681941943949937, 3.238813733541762]","[0.47885545508715327, 0.16323377875589323, 0.10201305484502342, 0.6175699655878566, 0.922089422510197]","[7.596733699595981, 0.12610519516141647, 5.271242092927216, 0.34396008646112086, 0.40056195645883597]","[0.2414128180422674, 5.205513850791602, 1.4246839710531538, 2.255300682617867, 2.2428258761409454]","[1.1576353363887515, 1.495025734900338, 0.10293074731268233, 0.447500093533255, 1.2664866775247328]","[0.2758788960383868, 1.9435588251540385, 0.2063461185637916, 0.3433241002168777, 0.7897671515809928]","[0.12493820026779329, 0.8658075029927055, 0.10293074731268233, 0.12686845053915968, 0.6151236187838507]","[0.868098388134422, 0.1878281764648246, 0.279276912992059, 0.11731911209310102, 2.3210506082814746]","[0.6333323000343752, 0.850937146002521, 0.1191674440411457, 8.090785023872465, 1.74428646646061]","[0.12758853569134182, 0.8374891884616658, 0.10293074731268233, 0.4775015285617993, 4.702360358702876]","[0.1387572272830043, 1.017957883415395, 0.2071055914767988, 0.5298825847221192, 2.469382590284119]","[0.4070556307560817, 0.16784977039083393, 0.26473878382861943, 8.888390713976651, 2.6894293726300313]","[0.38762047168797886, 1.7733063189464806, 0.13658711264088558, 0.6650066089479579, 2.736957265381681]","[0.36699922929499923, 0.15108435098867595, 0.12742339636765687, 0.6660621573403966, 2.6894293726300313]","[2.236080473322395, 2.0426253255413593, 0.1160076229768669, 0.672708053490037, 1.7036876223486448]","[2.077692099787628, 0.8082271110729863, 0.18625851485793912, 4.800833642801152, 0.4459438351343558]","[1.3519531647572596, 0.7071993183993536, 0.22445083352487075, 7.979344058417434, 1.5219344621920339]","[0.9430742104266574, 0.1584616821017185, 0.11140182847571214, 8.540237644846082, 1.0203152270226636]","[1.091365321543268, 1.049287983868509, 0.1286882567536407, 8.624162336994189, 0.888206255502368]","[2.3066625203371203, 2.1479653321043344, 0.10963219796733083, 9.364468307676892, 1.1533475796389527]","[1.4278280991362007, 0.14399339471944284, 0.15662105002930934, 8.520120248198868, 0.8489044462529672]","[0.906337045153899, 1.9533333876558785, 0.11173818018364005, 9.701167491192988, 0.8913540253305973]","[1.8632416961109937, 0.10767754670180818, 0.22605460433259164, 7.882447129499442, 0.3714008309216575]"
